provider_state,year,average_total_payments,average_medicare_payments,cover_rate
AK,2011,14572.39579551082,12958.973676878784,0.889
DC,2011,12998.033466406923,11811.972136668832,0.909
HI,2011,12775.743473278288,10967.479068852934,0.858
CA,2011,12629.67237881517,11494.38576316435,0.91
MD,2011,12608.95194647748,11480.126154711124,0.91
NY,2011,11795.496199680905,10620.740627370986,0.9
VT,2011,11766.308310170378,10546.974394866662,0.896
WY,2011,11398.489620372462,9539.3962601012117,0.837
CT,2011,11365.454780081052,10104.597205715063,0.889
NJ,2011,10678.992825503727,9586.94431302363,0.898
WA,2011,10543.155676177088,9076.5134734370313,0.861
RI,2011,10509.57105266836,9317.94344998981,0.887
OR,2011,10436.196874827559,9035.2640051177877,0.866
DE,2011,10360.076458172594,8959.6779402487336,0.865
NV,2011,10291.722100557408,8747.6070258460932,0.85
MA,2011,10279.985657284735,9241.7237035999333,0.899
AZ,2011,10154.532271532807,8825.7214445296613,0.869
SD,2011,10141.692348084351,8641.166156399182,0.852
MN,2011,9948.2410510470727,8619.2193085492945,0.866
ND,2011,9827.6424297417179,8752.0523607298564,0.891
ID,2011,9827.1842196769467,8461.9816298656951,0.861
IL,2011,9790.6802310742332,8385.2869837934431,0.856
MI,2011,9754.4246083279068,8662.1619360077711,0.888
UT,2011,9749.91099662842,7829.6327662431731,0.803
NM,2011,9619.8446487197343,8300.115466694655,0.863
CO,2011,9502.6894911740947,8150.9355954105549,0.858
NE,2011,9331.6864950922682,7992.6313418813488,0.857
NH,2011,9289.66591953585,8124.5110326755812,0.875
WI,2011,9270.709705329913,8002.6020083680341,0.863
MT,2011,9252.8065876739111,7981.0921587411085,0.863
TX,2011,9243.9835254085719,7970.4349669599824,0.862
SC,2011,9132.424906810329,7876.3357449350142,0.862
PA,2011,9100.04732502412,7919.1890883690257,0.87
NC,2011,9089.4399234108441,7998.6539556512707,0.88
GA,2011,8925.7979237488034,7667.5857595491125,0.859
VA,2011,8887.7563359535961,7538.8512987585582,0.848
FL,2011,8826.9944395297025,7667.4829036907786,0.869
OH,2011,8808.1317714134912,7661.0379993596471,0.87
IN,2011,8756.08664660143,7478.3005297002373,0.854
MO,2011,8724.6354110418488,7589.2500831167872,0.87
ME,2011,8679.9989990698268,7590.50493819482,0.874
LA,2011,8638.6665804519744,7387.708847653792,0.855
KS,2011,8455.4801959017313,7224.6472690836345,0.854
OK,2011,8353.6449034420839,7207.7101125900781,0.863
IA,2011,8312.5758663045053,7148.12413141465,0.86
KY,2011,8278.59301825332,7185.2319761917161,0.868
MS,2011,8229.168756316174,7124.1800112493829,0.866
TN,2011,8153.9549032768746,6946.4935052238479,0.852
AR,2011,8019.2528151354518,6919.72505437977,0.863
WV,2011,7968.4843016960358,6900.8567907558181,0.866
AL,2011,7568.236165895727,6418.01132871747,0.848
AK,2012,14138.116325860861,12590.710847152177,0.891
DC,2012,13665.409786156988,12262.175643058074,0.897
MD,2012,13272.747366524676,12112.011765006853,0.913
HI,2012,13265.734228138504,11214.430131267605,0.845
CA,2012,13193.703853648707,12009.270267087413,0.91
NY,2012,12015.475317865328,10798.909080216894,0.899
VT,2012,11648.155979153287,10369.609753656929,0.89
CT,2012,11545.691984501007,10229.417774397247,0.886
MA,2012,11508.190745654047,10441.375601073651,0.907
WY,2012,11367.268991492057,9599.0482420436474,0.844
NJ,2012,10879.392098163828,9756.64549971418,0.897
WA,2012,10781.789506702504,9257.0124609449667,0.859
NV,2012,10615.759627567308,9013.6666214267516,0.849
AZ,2012,10606.789675304952,9183.690397295908,0.866
OR,2012,10562.601150855849,9107.6764509821787,0.862
RI,2012,10557.382130723574,9310.3401907569623,0.882
DE,2012,10539.438442296541,9218.246514841383,0.875
ID,2012,10398.613817036052,8867.4880963434462,0.853
SD,2012,10333.488188875515,8674.6444499873469,0.839
NM,2012,10066.9253316369,8651.3530427320784,0.859
ND,2012,10019.799382856791,8881.9096500194173,0.886
UT,2012,9992.07479231904,8125.6984373619334,0.813
MN,2012,9985.4991986450932,8647.49283515603,0.866
MI,2012,9975.1137602007329,8850.2279005879718,0.887
IL,2012,9905.8773998367615,8455.0773117301233,0.854
CO,2012,9896.9905859239534,8515.7361127517725,0.86
NH,2012,9597.5693372812439,8381.9120023125,0.873
NE,2012,9534.78667232707,8057.1848867036633,0.845
PA,2012,9502.8058186543,8268.5570942418963,0.87
TX,2012,9462.19140656468,8099.2216316229578,0.856
WI,2012,9434.0948349924074,7990.55006771334,0.847
MT,2012,9355.9645660774058,8093.3942874476979,0.865
GA,2012,9303.6964231732345,7943.2977571353213,0.854
SC,2012,9278.19533613103,7972.8396462929149,0.859
NC,2012,9162.7184226654863,8026.5149624290589,0.876
VA,2012,9089.1975001328065,7771.60998600095,0.855
MO,2012,9065.8749419918386,7877.26150524286,0.869
FL,2012,8991.4412448329731,7756.7949592541445,0.863
IN,2012,8950.5951723097332,7629.8005254033715,0.852
OH,2012,8943.30731419674,7792.5019543319113,0.871
ME,2012,8862.7771135219682,7675.9523528036552,0.866
IA,2012,8840.6015295054676,7614.2398779035157,0.861
KS,2012,8836.5045537666356,7531.9664880191876,0.852
LA,2012,8743.5057954152053,7525.2057957506067,0.861
OK,2012,8646.7575423904709,7442.9863784327918,0.861
KY,2012,8486.2275825320958,7410.8681711065356,0.873
WV,2012,8455.8519130760087,7381.5733611493724,0.873
MS,2012,8309.96229471698,7227.3993665208445,0.87
TN,2012,8261.5774827039313,7022.752312952337,0.85
AR,2012,8125.6304392399834,7024.9175891671539,0.865
AL,2012,7781.6791331692521,6597.172961406246,0.848
AK,2013,16171.586284484581,14043.25570783701,0.868
DC,2013,14197.404196706693,11387.258825616622,0.802
CA,2013,13774.169779151563,12263.806073677499,0.89
HI,2013,13641.751940170319,11126.929061931873,0.816
MD,2013,13315.662929651731,12050.907118081943,0.905
NY,2013,12622.18181926199,10811.676272036933,0.857
CT,2013,12084.481294531262,10368.198217952699,0.858
VT,2013,11879.752684936095,10180.969370654129,0.857
WY,2013,11846.83551266933,9855.94178223506,0.832
MA,2013,11838.008274128104,10436.342852378019,0.882
WA,2013,11438.075165543418,9716.3736558790933,0.849
DE,2013,11335.154069288059,9716.7004176065657,0.857
OR,2013,11168.550407664172,9407.079408260699,0.842
NJ,2013,11152.412213784364,9567.5566437643974,0.858
RI,2013,11022.607127748146,9441.3364041222139,0.857
ID,2013,10989.145651809522,9433.8991335771443,0.858
AZ,2013,10911.311555802093,9269.9865063976576,0.85
MN,2013,10853.878787844505,9150.9145457549912,0.843
NV,2013,10751.922978742312,9114.9776029554778,0.848
CO,2013,10606.631062263212,8905.9111402018189,0.84
ND,2013,10547.997227283749,9131.128731164752,0.866
UT,2013,10435.147422464715,8200.702498165103,0.786
MI,2013,10331.631166112627,8852.60280741334,0.857
IL,2013,10330.902832332826,8590.879919478768,0.832
SD,2013,10243.777107371672,8753.9544733655,0.855
NM,2013,10236.819939052371,8696.970428582219,0.85
NH,2013,10112.995223828502,8646.9090218814545,0.855
NE,2013,10037.971454049848,8324.6283246050843,0.829
TX,2013,9952.18328772437,8258.945150925565,0.83
PA,2013,9864.0306289512155,7906.3740132726243,0.802
WI,2013,9815.0802590666044,8305.5412613818789,0.846
VA,2013,9681.40412186638,7899.686718519888,0.816
MT,2013,9673.0782347302484,8357.4925434104134,0.864
OH,2013,9606.2623072359456,7744.90819912754,0.806
NC,2013,9590.4318949234821,7937.3705320712761,0.828
SC,2013,9589.8774996508455,7969.45570376379,0.831
GA,2013,9511.5202780809068,8104.4062036585365,0.852
IN,2013,9374.6608218423717,7889.0118974330826,0.842
MO,2013,9368.1211512648479,8102.764153125172,0.865
ME,2013,9301.5204897863168,8081.8735309591939,0.869
FL,2013,9301.454554335045,7946.1717440642433,0.854
IA,2013,9153.7323863214569,7751.0852870036115,0.847
LA,2013,9147.2979495065629,7793.670171795342,0.852
KS,2013,9118.6122045467728,7823.1701503899812,0.858
WV,2013,9019.4347766015653,7439.2153081703545,0.825
KY,2013,8974.1872694503345,7525.5641038481654,0.839
OK,2013,8843.65870120394,7408.6584709273075,0.838
MS,2013,8619.4931954422646,7428.4425707868149,0.862
TN,2013,8525.4941237209387,7181.8786840562843,0.842
AR,2013,8471.0797636324987,7294.0454861635644,0.861
AL,2013,8068.7107713614059,6796.1478581020556,0.842
AK,2014,21537.316297119534,19086.685114342625,0.886
DC,2014,18965.020454461981,15181.321462676353,0.8
CA,2014,17076.379522264822,15240.353150468662,0.892
HI,2014,17048.815682599117,13696.941053373881,0.803
NY,2014,16621.991712451196,14148.225699013239,0.851
MD,2014,16159.500131487124,14751.300940693585,0.913
CT,2014,15170.114031196759,13092.245163629861,0.863
VT,2014,14954.925517378453,12978.922530118785,0.868
OR,2014,14875.157644924215,12952.617976573631,0.871
WA,2014,14773.040502723805,12415.733129454582,0.84
MN,2014,14728.42675855848,12422.457917851485,0.843
UT,2014,14716.344441350378,11948.029074907508,0.812
MA,2014,14635.994109984238,12893.243179355542,0.881
DE,2014,14146.74653407595,11877.920828654007,0.84
NV,2014,13787.147613380441,11740.290432541451,0.852
NJ,2014,13781.087003779574,11799.20436075428,0.856
AZ,2014,13626.91157306881,11725.929668444354,0.86
CO,2014,13536.554635461545,11468.6358560297,0.847
ND,2014,13415.49102664262,11791.589647808094,0.879
RI,2014,13196.356405549375,11392.692679148815,0.863
MI,2014,13122.933981385735,11264.480905702969,0.858
NH,2014,12855.785422387027,11035.322845297642,0.858
PA,2014,12842.901698676524,10326.680655522448,0.804
NE,2014,12828.772660398457,10731.200345713412,0.836
ID,2014,12822.126673795239,10953.657716555568,0.854
WI,2014,12801.62006567515,10541.278123498509,0.823
NC,2014,12659.425530636487,10520.59438487212,0.831
IL,2014,12632.708382362482,10491.798483857041,0.831
NM,2014,12590.524391816474,10895.184912272154,0.865
TX,2014,12506.2103921196,10456.743042396034,0.836
WY,2014,12460.548129304179,10621.991703057034,0.852
VA,2014,12428.98896201051,10105.986838525012,0.813
SD,2014,12310.528697062115,10799.118413777951,0.877
SC,2014,12103.917475327311,10119.093658713051,0.836
MO,2014,11957.31640563896,10446.434689204867,0.874
OH,2014,11913.433611487562,9747.668821332476,0.818
GA,2014,11913.137844890278,10331.388241503913,0.867
IN,2014,11813.223394323224,10161.313117458025,0.86
KS,2014,11669.495031191735,10117.171163257546,0.867
MT,2014,11588.887312372104,10044.346519385397,0.867
KY,2014,11562.522664845028,9770.4005850588383,0.845
ME,2014,11463.93217651066,9660.641638965486,0.843
OK,2014,11444.700658062713,9748.82412608121,0.852
FL,2014,11419.807903565572,9738.3203865309224,0.853
IA,2014,11287.286149883237,9562.50082831823,0.847
WV,2014,11247.022133224149,9315.98545060626,0.828
TN,2014,11189.2818107919,9626.4125936004057,0.86
LA,2014,11082.912067245601,9304.5594281432732,0.84
MS,2014,10656.848964495643,9174.3266576644928,0.861
AR,2014,10310.776817009888,8875.65034837132,0.861
AL,2014,10089.678599186807,8634.74755339517,0.856
DC,2015,19137.899175675688,14791.468891891893,0.773
AK,2015,19125.670494296588,17024.282395437265,0.89
HI,2015,18080.274527027032,14909.657815315326,0.825
CA,2015,17170.263904585514,15185.624995037346,0.884
MD,2015,16692.9643096856,15211.98857051825,0.911
NY,2015,16547.082983921067,14090.042172870224,0.852
MN,2015,15455.716254872579,13086.634371814085,0.847
MA,2015,15032.94881240543,13258.681701966712,0.882
OR,2015,15002.853630880605,12942.774475271419,0.863
UT,2015,14967.67786952092,11785.662579001018,0.787
CT,2015,14934.6972586412,12538.688764402066,0.84
WA,2015,14894.14380184328,12604.932825460824,0.846
VT,2015,14597.4295942029,12701.5455942029,0.87
NV,2015,14242.885939153433,12264.298432539672,0.861
NJ,2015,14127.547914238758,12126.881491110085,0.858
DE,2015,13869.744724186712,11438.489830268743,0.825
AZ,2015,13674.206843324631,11731.825528525918,0.858
CO,2015,13313.860779049288,11222.372887323932,0.843
MI,2015,13290.392919098102,11339.202665782454,0.853
ND,2015,13246.935165562918,11535.198990066234,0.871
WY,2015,13226.489101123592,11431.91539325843,0.864
RI,2015,13038.383887362652,11217.331043956041,0.86
PA,2015,13037.922547465043,10459.178451909011,0.802
SD,2015,13013.137799113734,11332.5671491876,0.871
NH,2015,12917.388905038737,11082.581405038738,0.858
NC,2015,12760.57551112498,10556.008143768451,0.827
WI,2015,12752.541096676729,10533.67228700906,0.826
ID,2015,12631.112699564579,10852.191770682151,0.859
NE,2015,12626.692272058837,10649.351867647059,0.843
NM,2015,12562.920500532477,10856.058051118202,0.864
IL,2015,12524.438836546866,10345.361206178808,0.826
TX,2015,12407.157034083724,10233.349615411747,0.825
VA,2015,12340.481181962305,9920.94870882506,0.804
SC,2015,12089.537279887472,10035.758700421973,0.83
OH,2015,11979.11577617787,9726.3663382594714,0.812
GA,2015,11966.002456510278,10373.621263398329,0.867
MO,2015,11891.217720238068,10347.702386904739,0.87
MT,2015,11819.757244732571,10404.825996758516,0.88
IN,2015,11769.502758149501,9986.3206656256643,0.848
ME,2015,11714.26400990099,9812.3318712871387,0.838
OK,2015,11583.76357937311,9817.1425176946741,0.847
IA,2015,11511.384014084511,9839.735868544607,0.855
KS,2015,11510.440495002382,9957.9012184673938,0.865
KY,2015,11468.316019133666,9659.00468774913,0.842
FL,2015,11426.114555331502,9757.2479571921285,0.854
TN,2015,11379.45161655604,9761.8881706364882,0.858
LA,2015,11163.03481043375,9239.6083955110516,0.828
WV,2015,10986.435050206737,9037.36526875368,0.823
AR,2015,10407.159338089561,8923.8924772096725,0.857
MS,2015,10246.187479113727,8855.7230839084532,0.864
AL,2015,10001.460450116045,8519.7583642691552,0.852
AK,2016,20598.707821011645,18331.931284046706,0.89
DC,2016,20528.639526386996,15915.675507442482,0.775
HI,2016,18398.198948655263,15249.782298288506,0.829
CA,2016,18129.462609588212,15977.415201960013,0.881
NY,2016,17366.415303248996,14805.199472924191,0.853
MD,2016,17038.430885416681,15589.059385850749,0.915
OR,2016,16336.809336579438,14219.253469263551,0.87
MN,2016,15875.818498810946,13461.010425089167,0.848
WA,2016,15703.11016794764,13272.986729291209,0.845
UT,2016,15555.714308510647,12336.240202127661,0.793
MA,2016,15546.60495156698,13783.591747388424,0.887
CT,2016,15213.518794531907,12916.330799502912,0.849
DE,2016,14919.527647929,12258.306804733729,0.822
NV,2016,14692.399880079947,12589.555669553645,0.857
NJ,2016,14565.690156178949,12492.066721758918,0.858
AZ,2016,14541.615849335314,12689.811054652855,0.873
CO,2016,14257.476873604306,12126.556860205435,0.851
VT,2016,14127.7453638814,12194.522938005382,0.863
RI,2016,13641.847729805011,11708.931852367685,0.858
ND,2016,13601.506057046981,11761.12704697986,0.865
MI,2016,13563.273372516103,11636.33643996641,0.858
PA,2016,13549.384844052482,10833.070109700981,0.8
NM,2016,13457.726791208786,11478.870582417579,0.853
NC,2016,13318.120645830013,10977.042047520363,0.824
SD,2016,13302.050389805107,11586.117886056971,0.871
WY,2016,13292.506953125003,11550.955781249995,0.869
NE,2016,13172.195989505244,11147.431026986507,0.846
WI,2016,13168.689172036084,10770.822493556674,0.818
IL,2016,13084.112887133129,10799.322620767514,0.825
ID,2016,12903.061004304171,10980.716355810606,0.851
VA,2016,12881.594332188692,10335.167220314459,0.802
NH,2016,12864.122075117366,11289.64512676055,0.878
MT,2016,12835.359485049839,11374.804252491689,0.886
TX,2016,12697.447415205554,10471.944241879846,0.825
OH,2016,12520.468574873072,10261.526467005096,0.82
GA,2016,12403.391133815539,10652.374086799256,0.859
SC,2016,12396.536174285708,10299.935285714262,0.831
ME,2016,12235.493666666671,10267.812708333337,0.839
MO,2016,12179.873044564782,10657.528125780931,0.875
OK,2016,12129.850374090765,10304.22848978177,0.849
IN,2016,11907.379295482766,10149.894838375432,0.852
KY,2016,11892.131141274218,10051.226936288112,0.845
IA,2016,11802.182273185477,10217.160302419352,0.866
TN,2016,11747.711006805406,10042.195022017657,0.855
KS,2016,11740.811246231162,10180.602241206032,0.867
FL,2016,11661.141870903653,9985.0572624958586,0.856
WV,2016,11516.820382746051,9450.1571506682812,0.821
LA,2016,11506.771480211886,9566.6058990339789,0.831
AR,2016,10902.395879705397,9357.7667062193086,0.858
MS,2016,10355.822116760857,8939.775853107325,0.863
AL,2016,10261.241204301043,8606.68584229396,0.839
AK,2017,21367.491281479393,18712.58852073782,0.876
DC,2017,21094.415680033551,16125.043836848326,0.764
HI,2017,19658.704740370453,15462.832478170434,0.787
CA,2017,18417.925284245921,16207.739145088846,0.88
MD,2017,17511.093302893591,15984.234915367913,0.913
NY,2017,17330.004594078804,14793.432008280863,0.854
OR,2017,16354.562671140764,14075.341138411308,0.861
WA,2017,16168.052758393624,13419.406229552284,0.83
MN,2017,16148.006433369363,13701.56636098415,0.848
CT,2017,15650.99124306243,13088.592662897203,0.836
MA,2017,15464.970222607286,13635.417148941415,0.882
UT,2017,15385.102183455119,12544.264739608241,0.815
DE,2017,15281.911439614707,12392.876158076471,0.811
VT,2017,15062.109155296494,12970.732503824793,0.861
CO,2017,14994.473860411254,12584.928794031695,0.839
AZ,2017,14886.298149849712,12908.001486577356,0.867
NJ,2017,14709.520479311423,12579.441415678039,0.855
NV,2017,14387.215060924167,12379.644455153515,0.86
SD,2017,13854.168186270992,11925.613669475684,0.861
MI,2017,13849.211437835038,11933.064006106477,0.862
PA,2017,13747.293135825579,10922.258483973976,0.795
WY,2017,13742.451679082997,11748.624915375496,0.855
NE,2017,13651.748863943949,11601.8380143644,0.85
RI,2017,13620.434649762692,11720.369369923896,0.86
ND,2017,13608.5798091624,11685.308359097449,0.859
IL,2017,13542.795127663341,11088.003602723975,0.819
WI,2017,13486.124168706963,11023.57711229368,0.817
NC,2017,13457.696175486188,11001.468450224964,0.817
NM,2017,13448.036285706994,11535.699648483655,0.858
NH,2017,13339.228933231887,11619.986018563626,0.871
MT,2017,13183.339157039025,11645.267620211387,0.883
ME,2017,13168.938494230099,11012.202460774182,0.836
VA,2017,13131.566831544116,10453.417750735423,0.796
ID,2017,13124.885072317184,11198.975107292241,0.853
TX,2017,12855.033753553047,10635.212033286876,0.827
OH,2017,12744.597684313079,10379.414253239334,0.814
SC,2017,12620.406941856108,10361.162609143294,0.821
GA,2017,12567.302094118135,10610.150029547949,0.844
OK,2017,12485.008234013621,10636.810295683672,0.852
MO,2017,12407.338681843559,10864.159486835091,0.876
IN,2017,12204.909102113221,10425.243592222227,0.854
KS,2017,12160.941072614674,10342.061329338447,0.85
TN,2017,12130.047581804711,10259.199904698877,0.846
KY,2017,12117.173679608633,10158.594052641605,0.838
WV,2017,12006.8280415088,9739.2553066733435,0.811
IA,2017,11923.578181923389,10271.997953357723,0.861
FL,2017,11827.056195467794,10058.557887293198,0.85
LA,2017,11784.242802028355,9756.63249059449,0.828
AR,2017,10883.903300364538,9332.5454793689751,0.857
MS,2017,10604.126885232388,9137.7374503123519,0.862
AL,2017,10519.971123071764,8706.9154865334967,0.828
